Age,Salary,TimeOnWebsite,PreviousPurchases,Purchased
60,53410,55.6,2,1
54,74840,19.1,3,0
50,83043,18.0,2,0
25,60676,38.7,3,1
22,65321,10.0,3,0
56,41347,19.4,2,0
21,64608,20.8,0,0
23,58581,13.0,3,0
49,34941,7.3,2,0
47,54691,27.9,1,0
52,46570,33.7,3,0
57,41591,23.6,2,0
33,29777,55.0,4,0
30,56375,30.8,3,0
59,37830,25.1,3,0
47,44636,33.3,2,0
36,78653,19.9,1,0
34,68907,43.0,1,0
36,33467,20.6,0,0
45,62742,19.4,4,1
43,57921,30.8,3,0
54,92437,19.5,0,0
43,85429,6.4,0,0
40,21258,34.1,6,0
26,73945,39.9,5,0
29,82834,22.6,4,0
18,67306,29.9,2,0
18,47621,21.2,0,1
51,108095,27.9,1,1
49,69331,14.4,6,0
42,98484,78.8,2,0
57,84733,67.7,2,0
18,65211,13.0,2,0
33,42247,25.1,4,0
56,54470,28.8,5,1
22,50118,29.5,3,0
39,28281,43.5,1,0
46,69306,18.2,2,0
20,89482,32.9,4,0
29,48437,23.1,5,0
43,102600,10.2,3,0
33,20733,37.7,0,0
54,78196,25.0,2,1
39,91773,22.3,3,0
46,50511,24.1,5,1
31,50907,38.1,0,0
45,77941,16.2,1,0
22,66132,10.8,4,0
47,18000,18.8,1,0
22,36446,29.2,1,0
29,54702,18.2,3,0
33,24867,31.3,3,0
43,44568,32.8,5,0
43,25417,23.3,0,0
38,46856,32.5,2,0
56,47594,25.2,2,1
53,62739,26.5,3,0
50,52981,32.0,2,0
47,66061,27.3,2,0
54,63438,9.5,1,0
40,77689,61.5,3,1
27,74223,27.7,1,0
22,71899,15.2,4,0
53,123307,33.0,0,0
51,62643,63.1,1,1
48,112059,17.4,1,1
27,64069,71.2,1,1
36,53177,39.4,0,0
49,46790,7.9,0,0
18,88214,74.0,0,0
22,91091,8.0,1,0
21,68195,28.5,1,0
33,79938,23.8,2,0
41,26901,13.3,0,0
33,20927,36.0,2,0
19,82419,51.1,2,0
45,52210,9.9,3,0
49,71485,57.1,1,1
44,39220,39.2,0,0
37,91454,55.0,1,1
41,21111,25.4,3,0
29,24517,73.0,3,0
52,86775,31.5,0,0
50,18000,30.6,1,0
50,63329,30.0,3,0
60,52639,8.8,1,0
54,38809,35.8,5,0
29,50601,12.1,2,0
20,36354,13.6,0,0
18,88930,6.5,1,0
50,94699,7.5,2,0
57,39914,50.5,0,0
27,61062,23.8,4,0
60,25848,3.8,2,0
46,78607,31.2,2,1
30,78034,43.7,0,0
29,48504,15.9,2,0
48,55371,17.7,2,0
19,52937,45.9,0,0
52,19394,19.9,0,1
40,89012,52.6,1,1
34,38127,25.8,3,0
43,38277,50.4,1,1
25,51691,20.2,4,0
46,76902,53.5,1,1
43,41991,10.7,1,0
27,18000,32.9,3,0
43,35486,19.2,5,0
51,64331,25.3,1,0
58,103175,38.7,2,1
24,27282,23.5,1,0
21,26477,41.2,3,0
28,21723,43.3,3,0
46,18992,24.2,4,0
53,81525,39.6,3,0
42,87883,21.9,3,0
38,58911,28.2,1,0
53,44710,36.4,1,1
27,94405,18.1,3,0
54,58826,9.7,1,0
26,78968,15.6,1,1
41,43638,19.2,4,0
52,55973,45.0,3,1
52,27778,21.2,3,0
53,68843,40.1,1,1
35,59201,4.1,5,1
56,35320,12.7,1,0
49,35616,20.0,2,0
41,90551,55.1,1,0
40,98377,28.3,4,0
49,50311,13.5,1,0
54,56491,7.1,4,0
29,63803,30.9,3,1
30,58257,14.6,2,0
40,18165,16.9,1,0
42,64413,13.2,1,0
52,18000,14.7,1,0
58,38881,11.3,5,0
47,66119,25.2,2,0
34,68200,29.3,0,0
37,37178,14.9,2,0
42,44914,61.9,6,0
39,41936,34.8,1,1
30,52737,6.0,2,0
36,54411,27.9,1,0
53,69706,30.7,1,0
29,43628,31.6,0,0
58,63215,25.1,0,0
36,66154,39.0,3,1
29,59362,46.7,2,1
26,49289,34.9,3,0
24,58974,51.9,3,0
45,71538,42.9,3,0
31,73462,22.5,2,1
48,94938,31.5,0,0
36,33219,35.6,5,1
33,45320,45.6,1,0
22,19504,24.3,2,0
52,75482,30.1,3,0
29,47641,6.9,1,0
42,59536,20.0,3,0
38,41705,3.3,0,0
53,47813,14.4,1,0
40,81910,16.8,4,0
33,70273,35.5,3,1
56,52547,16.0,0,0
59,71892,25.2,3,0
56,72378,31.6,1,1
31,46389,24.8,0,0
48,22680,18.0,4,0
22,35218,57.3,1,0
52,25508,40.2,3,1
40,80618,23.9,0,0
46,84439,20.2,2,1
60,89900,30.9,3,1
28,18000,30.7,1,0
35,78571,27.4,2,0
29,103668,17.9,4,1
26,79464,4.9,0,0
27,18000,30.7,7,0
34,93903,15.4,3,0
55,55917,56.2,2,0
24,49887,12.4,3,0
30,64924,20.8,0,0
57,31922,55.3,2,0
59,55061,20.7,1,0
26,90649,15.5,2,0
44,68693,45.6,0,0
19,56285,52.8,2,0
22,56971,7.2,4,0
46,29009,43.0,3,0
54,51700,41.3,2,0
55,19046,23.4,1,0
36,77494,12.6,2,0
25,18000,57.4,1,0
18,73808,4.9,2,0
39,76547,15.3,2,0
34,84013,38.7,1,0
24,56911,7.2,2,0
42,75166,21.6,0,0
21,51486,23.5,5,1
53,28893,51.3,2,0
23,88676,38.8,2,0
48,52869,40.3,3,0
36,23991,7.6,5,0
56,44730,22.0,1,0
44,45599,33.2,0,0
27,65157,46.7,2,1
43,106635,10.1,2,1
36,66493,21.2,2,0
56,59551,66.8,5,1
20,109027,16.3,2,0
30,76536,35.9,1,0
45,60593,42.0,3,1
37,44453,36.1,1,0
45,61956,45.2,2,1
25,53539,7.2,4,0
58,57012,36.8,1,1
56,83917,23.0,1,1
18,43113,25.2,0,1
20,66298,29.6,1,0
30,75877,33.9,1,0
45,40434,22.8,0,0
42,36902,25.9,2,1
50,51692,7.9,1,0
55,44844,9.2,1,0
23,80351,41.8,2,0
49,32961,48.0,3,1
38,56506,45.4,4,1
33,111013,29.0,4,1
38,64087,56.5,2,0
28,67744,52.4,0,0
54,80535,47.4,3,0
53,44815,25.5,1,0
52,31209,37.1,2,0
36,58883,25.9,2,0
37,60839,29.0,0,0
35,19399,37.1,3,1
58,63252,58.9,2,1
31,78537,31.6,2,0
32,34915,10.5,3,0
48,64582,77.1,1,0
18,74630,23.2,0,0
20,67907,10.9,3,0
33,69982,29.7,1,0
40,49614,38.4,0,0
28,30195,48.4,6,0
29,45163,30.6,2,0
27,42107,19.9,6,0
49,53234,29.8,6,1
33,79052,29.1,2,0
25,26140,38.8,2,0
55,58174,26.4,0,0
29,31605,87.9,1,0
41,38719,49.0,5,0
45,67292,18.9,3,0
25,28821,17.7,0,0
45,71153,17.3,1,0
53,25252,35.7,1,0
43,69674,28.3,2,0
25,20910,15.2,4,0
45,41408,6.1,2,0
45,96723,21.2,1,0
54,92588,37.1,1,0
58,45924,11.6,3,0
53,63579,21.5,3,1
44,81489,49.5,4,0
34,69989,3.2,2,1
26,48984,20.0,1,0
50,38530,19.1,3,0
37,74098,9.7,5,0
30,79875,10.6,3,0
45,92745,41.1,0,1
46,18000,56.1,2,0
30,27431,16.5,4,0
52,80562,44.4,4,0
23,20866,27.6,3,0
35,82248,24.3,2,0
22,50271,57.2,4,1
42,43540,16.0,1,0
19,59519,18.4,0,0
27,25402,12.5,2,0
47,73128,12.6,4,0
22,92172,35.9,4,0
50,74153,56.5,1,0
18,49577,31.6,4,0
35,21163,3.2,5,0
49,22009,69.5,0,0
28,25748,46.2,2,0
38,54730,50.9,1,0
43,57495,31.9,1,0
42,74106,16.4,5,0
39,18000,26.5,2,0
44,83847,52.2,1,1
30,70277,22.0,3,0
50,47810,44.3,2,0
51,28825,14.6,1,0
58,82481,43.4,5,1
52,48398,29.5,3,1
18,54560,22.6,2,0
38,63439,29.2,2,1
23,34910,40.6,0,0
45,48792,49.8,0,0
34,74037,18.1,0,0
22,71810,21.4,2,0
48,72008,38.8,4,1
22,29586,85.0,5,1
55,49795,78.1,3,0
20,46279,52.3,4,1
40,64354,60.3,5,1
54,62384,15.8,2,0
54,58419,14.6,2,0
27,109246,13.4,1,1
27,48602,15.6,0,0
36,46028,38.0,2,1
34,29552,28.7,3,0
38,21167,41.3,5,0
31,28153,56.6,2,0
26,39189,31.7,1,0
18,83822,28.5,3,0
30,55862,70.6,0,0
21,59253,21.7,3,0
18,52882,11.3,5,0
57,63037,37.1,3,0
49,85846,19.7,2,0
51,18000,30.9,1,0
45,81803,15.7,3,0
48,18000,37.9,0,0
25,55620,27.9,4,0
56,103222,27.1,4,0
43,69974,41.7,3,1
51,63207,57.5,1,0
20,99043,67.3,0,0
29,39533,41.3,2,0
18,64547,29.0,3,0
22,67719,29.2,2,0
47,43507,46.9,1,0
47,45450,15.2,3,0
34,43037,17.5,1,0
40,56921,8.0,3,0
32,67027,48.9,4,1
54,57711,61.4,3,0
38,70608,41.5,2,0
31,18000,9.1,1,0
19,50198,37.6,3,1
28,32485,22.2,1,0
56,61638,33.7,5,1
55,61312,68.3,2,1
51,52456,16.9,4,0
55,66226,41.7,1,0
51,76952,26.1,4,1
35,53669,29.5,1,0
47,31863,9.9,5,1
32,20212,22.6,0,0
44,55794,13.2,3,0
51,60321,43.0,3,0
55,33670,30.0,2,0
50,70967,38.5,2,0
41,44903,17.1,2,0
32,18558,20.9,2,0
47,82642,46.6,2,1
59,80168,24.1,1,0
34,18000,20.4,2,0
22,42623,43.2,1,1
46,41765,17.4,0,0
21,91069,21.2,4,0
27,52816,28.1,2,0
34,22091,36.4,3,0
27,74406,24.9,2,1
34,27923,10.6,5,0
37,49273,39.5,3,0
41,38065,52.9,2,1
22,42670,20.0,2,1
51,75620,23.9,3,0
23,88469,14.2,2,0
19,26964,28.8,2,0
30,68774,16.1,1,0
60,38879,60.3,0,1
60,39563,23.1,1,0
28,65794,21.4,3,0
40,32386,22.7,1,0
33,65353,17.2,2,0
48,71062,31.0,1,0
28,45484,22.5,1,0
33,84196,44.0,2,1
25,26998,31.0,3,0
21,84599,37.6,2,0
57,18000,39.8,3,0
21,114394,52.8,0,0
42,46064,20.7,1,0
20,29429,18.0,2,0
49,49881,19.9,2,0
20,31977,27.8,6,0
44,63513,32.7,3,0
46,85088,15.5,2,0
49,33144,19.1,2,0
36,67747,32.7,2,0
38,21280,30.4,2,0
22,77725,21.6,4,0
35,64157,10.7,1,0
45,78676,30.1,2,0
59,52308,39.0,2,1
39,45427,38.0,0,0
38,72955,23.7,2,0
23,26223,15.9,3,0
18,18000,12.5,5,0
22,54891,15.2,1,0
58,46429,34.9,0,0
29,67184,22.7,2,0
43,79014,27.0,2,1
51,66726,8.2,0,0
31,77262,44.9,3,0
43,62063,52.2,5,0
44,65881,17.3,0,0
26,52434,58.6,0,0
43,65231,20.7,3,1
39,58666,14.3,7,0
47,62154,16.4,1,0
60,51332,19.7,1,0
34,72796,18.4,3,0
43,39370,21.7,2,0
53,54596,17.3,1,1
18,83859,42.0,3,0
25,34128,18.9,3,0
52,18000,8.9,3,0
32,63062,13.4,3,0
39,49347,22.6,1,0
31,77239,24.5,4,0
43,52129,43.1,3,1
45,41705,23.8,2,0
40,53332,29.9,1,0
31,79048,20.5,2,0
41,67658,30.7,1,0
19,18000,8.2,2,0
43,59087,31.3,2,0
31,60187,22.2,0,0
24,54599,44.3,0,0
20,41560,46.1,2,1
40,81280,33.3,1,0
60,82369,20.6,4,0
35,18000,21.4,3,0
55,37445,13.7,1,0
52,51816,23.2,4,0
32,75867,10.1,3,0
42,55767,22.9,3,0
54,39961,43.1,0,0
45,70610,19.5,5,0
27,50351,31.3,0,0
56,52417,37.1,3,0
34,54403,41.4,4,0
56,67635,19.4,4,1
39,48212,13.8,0,0
43,70113,12.6,1,0
42,53392,14.4,3,0
34,31526,20.3,2,0
30,54191,9.9,0,0
37,32665,16.6,2,0
42,55902,45.2,5,1
21,73248,43.3,3,0
27,31380,5.9,1,0
20,63014,83.3,5,0
58,36761,51.1,4,0
35,59437,9.8,0,0
53,73924,26.7,3,0
39,18000,19.3,1,0
51,30482,18.1,1,0
25,46882,9.5,3,0
57,61931,41.2,3,1
36,51340,40.9,4,0
59,53991,31.9,1,0
58,99946,68.0,4,0
54,28326,23.5,2,1
23,79981,16.9,2,1
43,47300,13.8,2,0
51,67088,15.0,2,0
23,101837,50.5,1,1
54,70151,32.1,1,0
50,63195,20.3,0,0
39,90181,17.4,1,0
38,79746,38.9,3,0
23,37413,10.9,3,0
23,61480,12.5,2,0
21,18000,41.3,0,0
47,43117,31.3,3,0
28,61909,13.8,4,0
47,41754,27.5,2,0
48,61014,15.1,0,0
41,54706,26.9,1,0
26,66801,25.0,3,0
20,45668,19.3,3,1
48,34317,19.4,3,0
57,87519,13.0,2,1
54,44095,20.6,0,0
53,69520,56.0,2,1
41,86575,25.9,2,0
48,58579,73.0,3,1
23,36161,7.8,0,0
19,51071,18.5,3,0
37,77386,35.2,3,1
45,59537,83.3,1,0
28,28487,9.8,2,0
21,68126,25.3,2,0
32,71930,33.5,0,0
23,47183,51.3,4,1
47,68425,18.7,1,0
55,60390,21.9,4,0
19,50657,13.3,3,0
32,26542,20.9,5,0
28,78715,23.4,0,0
25,71703,32.5,1,0
43,67845,39.2,2,0
22,88980,11.0,0,0
23,75794,17.0,1,0
43,70104,31.4,4,0
21,18000,8.3,1,0
36,81332,61.2,1,1
37,56828,48.6,5,0
50,61875,33.8,4,0
37,62025,37.8,3,1
29,72024,46.6,4,1
18,79688,48.0,2,0
43,68953,34.4,3,0
31,65456,11.8,2,0
55,60093,31.0,1,0
54,18000,49.1,4,1
28,48673,28.4,1,0
53,34285,41.7,3,1
30,81636,38.0,2,0
60,68619,41.5,4,0
20,44921,18.9,2,0
50,47130,40.9,2,0
23,46332,15.3,1,0
27,45940,15.4,2,0
22,23220,20.5,4,0
40,18452,36.7,1,0
27,55639,30.5,3,0
19,78657,29.0,0,0
30,43171,22.3,3,1
57,61676,5.7,5,0
19,71154,25.6,2,0
37,33146,13.3,0,0
18,54561,12.8,0,0
54,40337,35.8,0,0
26,90335,6.3,5,0
34,89374,51.9,3,1
26,33168,29.4,1,1
28,63489,19.7,3,0
32,78487,3.8,1,1
41,73663,15.5,3,0
55,56794,23.1,0,0
52,83744,6.0,3,0
47,35101,20.2,2,0
48,48332,47.5,3,0
22,35692,25.3,2,0
31,72215,52.3,6,1
28,42182,15.8,2,0
26,51233,8.5,0,0
51,68589,33.7,3,1
29,70361,37.6,1,0
52,35043,46.4,0,0
52,78246,54.7,0,0
18,65025,25.2,5,0
57,31203,49.7,0,0
39,25790,90.0,7,1
46,54652,42.5,2,0
25,73702,15.9,4,0
28,74266,25.4,4,0
58,62836,33.1,1,0
54,56071,32.0,2,0
31,66258,23.2,1,0
47,36183,58.0,2,0
52,92114,8.2,0,0
38,91827,26.4,3,0
54,64434,32.6,2,1
22,59341,16.5,2,0
36,45949,47.9,3,0
31,66632,31.0,0,0
43,39791,28.6,2,0
21,18000,36.6,0,0
42,18000,28.7,0,0
59,37411,40.4,5,0
42,58440,5.2,3,0
35,62303,6.8,1,0
57,44291,43.0,5,0
25,58120,25.8,2,0
56,48967,16.3,2,0
57,33015,30.8,2,0
31,53818,25.3,2,0
49,72885,15.3,2,0
55,34011,76.5,1,0
50,34021,58.2,2,1
40,31476,17.9,2,0
32,18000,18.1,1,0
50,44436,15.8,3,0
42,70710,20.1,4,1
34,58826,38.6,1,0
50,51276,27.5,2,1
19,57839,19.9,1,0
31,44242,24.0,3,0
57,18000,20.1,0,0
57,72242,14.8,3,1
56,78565,13.1,3,1
23,38981,12.5,2,0
23,51682,30.4,0,0
20,49786,45.6,2,0
24,62728,28.4,3,0
25,92178,5.8,1,0
59,80515,30.0,2,1
32,46708,17.4,1,0
46,66934,13.3,3,0
50,82596,9.9,3,0
47,63984,13.3,5,0
56,54897,13.5,0,0
44,64812,8.2,8,0
53,39528,13.5,3,0
46,42740,34.7,2,1
55,31591,50.7,3,0
50,61755,6.1,3,0
54,52109,41.5,6,1
44,36891,23.2,1,0
50,51388,10.2,0,0
21,65340,19.8,3,0
39,97124,33.7,1,1
19,77265,26.2,0,0
27,18000,7.4,0,0
